Parent_1_ID,Parent_2_ID,C902336,scaffold1,scaffold10,scaffold1019,scaffold103,scaffold105,scaffold1062,scaffold1091,scaffold1124,scaffold1127,scaffold1157,scaffold1231,scaffold1295,scaffold1297,scaffold1320,scaffold1330,scaffold1407,scaffold1431,scaffold1440,scaffold1495,scaffold1534,scaffold1537,scaffold16,scaffold163,scaffold1675,scaffold17,scaffold18,scaffold1817,scaffold184,scaffold187,scaffold1882,scaffold1928,scaffold193,scaffold197,scaffold2,scaffold21,scaffold217,scaffold224,scaffold232,scaffold233,scaffold238,scaffold249,scaffold27,scaffold279,scaffold283,scaffold289,scaffold296,scaffold30,scaffold307,scaffold31,scaffold318,scaffold329,scaffold33,scaffold338,scaffold367,scaffold395,scaffold4,scaffold404,scaffold410,scaffold42,scaffold423,scaffold425,scaffold465,scaffold469,scaffold476,scaffold48,scaffold481,scaffold574,scaffold589,scaffold59,scaffold594,scaffold6,scaffold611,scaffold612,scaffold620,scaffold628,scaffold630,scaffold634,scaffold637,scaffold651,scaffold678,scaffold685,scaffold693,scaffold7,scaffold701,scaffold708,scaffold712,scaffold734,scaffold735,scaffold738,scaffold740,scaffold752,scaffold771,scaffold78,scaffold8,scaffold903,scaffold921,scaffold925,scaffold939,scaffold95
PP1,PP1,24.63534,166.857353,0,9.198167,23.387018,16.6764565,0,6.8235365,0,13.552726,45.6772745,8.3289745,41.099833,0,132.7876695,7.3569815,28.8747965,0,9.403911,116.37726,41.2195345,35.016036,1.01862,0,0.118921,32.347,120.70632,18.880631,29.3849985,8.133026,146.762691,0,70.323723,74.0438515,104.3576085,95.4838845,7.3807855,42.923589,3.45616,116.1694025,45.04848,44.521516,18.3511625,7.6339175,26.82119,21.359833,9.1867765,4.5996005,30.7474035,8.9221825,42.7463915,224.7501595,326.7213,9.741699,133.7633755,17.7636525,176.704409,3.144614,55.0870425,42.287429,33.8510205,0,8.992093,20.0736635,0,14.6895705,116.592116,9.4992645,46.6444235,49.1261265,0,130.3165835,37.43492,69.8572785,34.69103,66.8957135,4.9811465,0,6.962538,32.86686,8.885965,236.031086,18.7733425,5.181528,0,21.8612625,27.766057,8.705455,72.916971,41.8921815,0,12.344167,7.8017335,0,36.5430285,119.33648,80.0946075,8.9538295,0,0
PP1,PP2,12.9335535,112.4657305,0,10.054425,11.172665,17.783194,1.3942635,7.6793355,0,11.371526,46.9516095,0.7571795,3.4974695,0,62.286064,0.6688165,41.3837915,0,1.757293,35.5408095,12.0478015,19.208535,2.236245,0.8318595,0.010811,1.61735,56.4548655,9.997541,16.6276585,15.526686,97.845592,0.899481,41.027506,71.1619545,59.243424,95.2816235,8.0342555,22.9200735,1.814484,103.0220675,8.297065,39.096327,35.0340375,16.2180405,16.9204495,1.941803,0.8351615,0.4181455,21.05081,9.732726,20.2802835,150.2013795,160.1657925,0.885609,83.633716,8.8029075,67.5951455,0.285874,56.387457,7.612719,43.3052115,0,1.42948,28.18378,0.885869,8.021855,94.82946,0.8635695,26.528427,48.6143815,0,80.4702365,20.4987035,28.4647105,27.86073,49.4854085,9.5094615,0,6.962538,32.86686,0.807815,156.1961455,11.273753,0.471048,0,17.6501075,12.070267,0.791405,44.046202,2.4513975,0,13.187077,15.729168,0,12.608212,25.216504,38.6134375,0.8139845,0.3606735,1.73688
PP1,PP3,24.63534,165.6476935,0.629652,0.836197,3.0281985,17.275529,0.6809835,1.4761205,0,7.176597,29.5640945,8.3289745,15.772144,0.8013995,67.748664,0.6688165,37.1326715,0,9.403911,47.634621,23.540516,9.3253535,1.6274325,0,0.118921,16.982175,35.3598115,18.880631,6.0069065,8.133026,68.42139,0,48.8623645,53.8017625,53.9832585,60.289263,8.0342555,30.1478085,3.45616,96.596697,14.2635385,50.749307,35.0340375,16.2180405,23.795859,21.359833,0.8351615,0.4181455,32.428041,8.9221825,27.9038415,138.2374215,146.1854305,9.741699,53.2144945,1.6148775,87.0907275,0.285874,66.2266975,13.772579,35.4703905,0.8395415,1.42948,8.5227,1.8037385,9.65707,59.722436,9.4992645,38.8529175,49.1261265,0,104.2373765,20.48635,31.405458,43.26403,50.4966235,9.5094615,0.928378,6.962538,32.86686,1.6383465,129.995803,18.526018,5.181528,0,10.9206075,11.932898,0.791405,25.2169735,2.4513975,0,10.039077,9.4716325,0,18.9355485,18.2341595,44.3002595,8.9538295,0,2.571858
PP1,PP4,12.9335535,152.2091445,1.259304,17.560137,16.452943,10.2239325,1.42656,0.6203215,0,2.106867,29.0578745,0.9939345,3.4974695,0,54.8836245,7.3569815,7.3698315,0.593541,9.403911,80.078859,50.2690395,26.8113185,1.763588,0.8318595,0.010811,32.347,46.498377,2.765617,17.5268225,8.133026,31.750384,0.899481,54.546679,42.8527615,119.410366,86.568564,7.3807855,2.83477,0.172808,78.8875655,11.2401175,45.22566,26.3975875,15.4652455,13.695197,2.591823,0.8351615,0.4181455,10.6805585,8.9221825,52.444693,139.3583555,216.731129,0.885609,106.9417845,24.9516825,125.207134,0.285874,27.3299975,4.7017005,43.344984,0,8.992093,13.3558285,0,13.8977785,35.181231,2.23424,48.376027,34.884263,0.757208,152.2161285,19.653333,32.5156355,18.846,45.5239175,4.9811465,0,13.292118,32.86686,2.6872965,184.294324,3.3588385,6.054976,0,22.5371705,22.623874,0.79824,59.800244,25.6104795,0,12.344167,14.8942185,0.878688,3.3220935,50.6977755,26.710945,8.9538295,0.3606735,3.406836
PP1,PP5,24.63534,146.1681775,0,0.836197,2.230981,18.325902,0.71328,0.6203215,0,2.981668,38.251093,0.875557,2.602085,0,67.64733,0.6688165,7.3698315,0.593541,1.757293,51.8190615,43.7010845,3.9794185,1.1547755,0.8318595,0.010811,16.982175,50.413308,2.241019,17.5268225,15.526686,30.927436,0,45.3545855,50.3226235,84.6840285,75.79625,0.6709805,11.622906,1.814484,111.913489,26.5935045,31.939368,35.0340375,14.6431465,22.354021,2.591823,0.8351615,0.4181455,10.6805585,0.8111075,44.4489105,133.08942,225.382915,9.741699,120.887877,26.7243975,106.506519,0.285874,48.0747085,20.797898,34.3683495,0,3.662562,21.465945,1.8037385,16.391084,23.139501,2.23424,48.376027,49.6378715,0,152.2161285,19.6313885,49.5944105,26.97727,51.5078385,4.9811465,0,6.962538,17.2551015,2.1628215,160.6807485,10.505473,6.054976,0.8564105,26.5833275,22.051426,0.79824,53.8334705,26.487615,0,1.965107,14.8942185,0.8693955,3.3220935,50.6977755,73.86644,8.9538295,0.3606735,3.406836
PP1,PP6,12.9335535,128.765569,0.629652,9.198167,16.103916,17.5503075,0,0.6203215,0.5674035,1.232066,38.512988,0.9939345,2.602085,0,53.52381,0.6688165,12.1146815,0.593541,1.757293,63.192938,37.1331295,18.618766,1.6274325,0.8318595,0.227031,32.347,50.754752,1.716421,17.5268225,8.133026,46.817737,0,74.135836,43.0400885,84.6840285,78.026319,0.6709805,10.8835995,3.45616,85.104649,23.650452,31.446373,35.0340375,0.7632965,22.852637,2.591823,0.8351615,0.4181455,15.6979085,8.9221825,52.444693,128.3614475,216.7479615,9.741699,83.116772,24.9516825,87.250331,0.285874,29.029269,20.797898,35.278999,0,9.60411,13.8482535,0,21.37601,35.8950685,3.096079,48.376027,49.1261265,0,145.4477985,20.4987035,51.4224985,18.846,44.8714325,4.9811465,0,13.292118,17.2551015,2.1628215,184.4377695,3.3588385,6.054976,0,20.5297355,37.884585,0.79824,53.8334705,26.487615,0.9051735,12.344167,14.8942185,0.8693955,3.3220935,33.468421,73.86644,8.9538295,0.3606735,3.406836
PP2,PP1,12.9335535,112.4657305,0,10.054425,11.172665,17.783194,1.3942635,7.6793355,0,11.371526,46.9516095,0.7571795,3.4974695,0,62.286064,0.6688165,41.3837915,0,1.757293,35.5408095,12.0478015,19.208535,2.236245,0.8318595,0.010811,1.61735,56.4548655,9.997541,16.6276585,15.526686,97.845592,0.899481,41.027506,71.1619545,59.243424,95.2816235,8.0342555,22.9200735,1.814484,103.0220675,8.297065,39.096327,35.0340375,16.2180405,16.9204495,1.941803,0.8351615,0.4181455,21.05081,9.732726,20.2802835,150.2013795,160.1657925,0.885609,83.633716,8.8029075,67.5951455,0.285874,56.387457,7.612719,43.3052115,0,1.42948,28.18378,0.885869,8.021855,94.82946,0.8635695,26.528427,48.6143815,0,80.4702365,20.4987035,28.4647105,27.86073,49.4854085,9.5094615,0,6.962538,32.86686,0.807815,156.1961455,11.273753,0.471048,0,17.6501075,12.070267,0.791405,44.046202,2.4513975,0,13.187077,15.729168,0,12.608212,25.216504,38.6134375,0.8139845,0.3606735,1.73688
PP2,PP2,6.7747185,159.2569905,0,18.617005,42.712478,37.9259575,15.3368985,16.2373255,0,20.27892,85.59826,0,9.8492295,0,74.9669855,0,73.691612,0,9.926312,85.2604515,43.86406,34.365012,25.37112,9.1504545,0,0,60.7549935,9.109232,23.4103265,29.57464,172.131086,9.894291,52.849022,87.062081,117.4887405,175.344715,14.5689555,15.473205,0.950444,138.73508,6.36278,82.161041,66.7315,60.64366,72.0505005,0,0,0,83.738206,17.838161,35.48746,204.8640695,215.96055,0,138.1569025,7.906833,225.0755705,0,69.391602,89.84746,93.5467545,0,6.732187,56.9695065,9.744559,15.5420815,86.613964,0,30.327352,63.12734,0,108.8578025,19.5936785,25.54514,47.110837,86.80796,18.11326,0,6.962538,32.86686,0,236.4035565,26.3080125,0,0,17.228992,18.630766,0,47.1247535,0.22218,0,21.616177,37.5543845,0,20.068928,68.760249,152.858327,0,3.9674085,34.7376
PP2,PP3,12.9335535,149.4487545,0.629652,1.692455,25.8199125,23.773919,8.2040985,10.0341105,0,11.521234,52.5619815,0.7571795,1.5885455,0.8013995,59.3523955,0,69.440492,0,1.757293,51.9780585,18.205337,16.431452,13.8036825,0.8318595,0.010811,0.808675,47.7978925,9.997541,20.1153945,15.526686,137.6705785,0.899481,46.096154,68.332989,49.289577,47.6273705,14.5689555,16.1959785,1.814484,113.8156635,6.6778475,54.132607,66.7315,60.64366,56.5342205,1.941803,0,0,44.808704,9.732726,20.2820365,192.9001115,184.131631,0.885609,97.56391,0.718803,190.1590065,0,85.118737,47.61234,72.983805,0.8395415,6.732187,19.6134545,10.6624285,10.43208,51.50694,0.8635695,31.708342,48.6143815,0,118.7107355,11.5784035,4.0921615,50.452832,47.8454995,18.11326,0.928378,6.962538,32.86686,0.8305315,186.4902435,27.0761825,0.471048,0,10.499492,11.102417,0,34.1026085,0.22218,0,10.881987,32.428158,0,10.847464,50.0235355,119.002281,0.8139845,0.3606735,35.572578
PP2,PP4,6.7747185,132.9851885,1.259304,18.416395,14.136295,17.9244075,15.6598635,1.4761205,0,1.888747,45.2896695,0.236755,9.8492295,0,37.8306925,0.6688165,4.350366,0.593541,1.757293,27.0329235,5.918091,26.269874,24.898463,9.1504545,0,1.61735,27.372486,1.877308,16.9836705,15.526686,64.4307185,9.894291,31.078304,33.416583,86.004718,112.8982805,8.0342555,1.439587,0.086404,89.9937815,3.6544265,70.683476,50.322245,46.340555,31.931062,0.65002,0,0,13.131436,9.732726,37.9632635,137.7403735,191.859584,0,75.691821,15.9909375,90.1146625,0,28.630412,6.0737275,64.689453,0,1.42948,15.4198935,0.885869,13.9752795,26.965735,1.3706705,33.9398945,49.3972215,0.757208,103.1144145,11.1399735,5.202339,10.057903,9.4869965,9.5094615,0,13.292118,32.86686,1.8794815,159.756891,4.0438085,1.344496,0,18.3260155,29.184373,0.006835,37.0013115,2.3184945,0,13.187077,29.2048895,0.878688,1.824448,24.2192705,76.8759065,0.8139845,3.9674085,36.407556
